Predicted_Labels  True_Labels
8  8
8  8
12  12
3  3
13  2
0  0
8  8
12  8
10  10
9  9
9  4
10  13
11  11
4  4
2  2
17  17
7  0
3  8
17  17
11  11
3  3
3  8
9  2
3  1
11  11
17  17
5  5
1  1
3  3
7  2
4  4
17  17
3  1
2  2
9  9
11  13
13  13
7  7
5  7
2  2
9  9
11  13
7  6
3  3
12  12
5  6
7  7
11  11
1  1
1  1
9  9
11  11
9  9
2  2
7  7
10  2
5  9
16  16
2  2
12  12
0  0
11  11
8  8
2  2
7  7
2  2
2  2
15  15
1  1
7  7
9  5
9  4
11  11
7  7
13  13
9  9
0  2
9  9
10  10
11  11
11  11
12  3
7  7
6  6
1  1
12  8
12  12
5  5
9  0
7  5
2  2
13  13
17  17
9  9
1  1
15  15
11  11
8  8
12  1
10  10
9  9
16  16
8  8
9  7
1  1
12  12
9  9
8  8
0  0
12  8
10  10
7  8
8  8
7  7
9  9
7  7
12  12
3  3
3  3
12  12
7  7
14  14
15  15
12  12
0  0
10  2
16  16
15  15
14  14
16  16
17  17
15  15
12  12
7  7
8  8
6  6
17  17
6  6
5  5
2  2
2  2
2  2
16  16
0  0
5  5
16  16
9  9
9  9
0  0
10  2
8  8
17  17
12  12
0  0
17  17
12  12
13  13
10  7
1  1
7  5
4  5
9  9
9  9
8  8
9  2
13  13
8  3
3  3
17  17
11  11
5  5
16  16
9  9
3  3
3  3
7  7
1  1
13  13
9  9
13  13
15  15
16  16
17  17
8  8
9  9
7  7
11  11
17  17
8  8
17  17
16  16
9  9
17  17
5  5
11  11
2  2
2  2
7  7
5  2
10  10
3  1
13  11
9  5
8  0
13  13
8  8
11  11
3  1
16  16
8  8
9  9
7  7
11  11
13  13
11  11
7  7
13  13
3  1
3  1
0  0
12  12
7  7
1  1
14  14
3  1
3  3
13  13
12  12
13  13
8  8
10  10
17  17
12  8
9  9
12  1
9  9
8  8
9  9
11  11
15  15
2  2
0  0
2  2
12  8
9  9
12  8
7  7
7  7
9  9
16  16
7  7
14  14
8  8
16  16
14  14
9  9
10  10
3  3
1  1
0  0
17  17
8  8
8  8
2  2
15  15
3  1
6  6
2  11
13  13
7  7
8  8
3  3
6  6
15  15
12  12
9  2
0  0
0  0
12  12
5  4
0  0
7  7
10  10
12  12
9  9
2  2
8  8
2  2
13  13
2  2
7  7
2  2
10  10
1  1
15  15
12  12
11  11
3  3
5  5
12  12
12  12
1  1
6  6
3  12
0  0
16  16
6  6
12  12
7  7
3  3
9  5
12  8
11  11
14  14
13  13
17  17
8  8
9  9
7  7
5  6
6  6
2  2
8  8
10  10
6  6
6  6
5  5
13  13
1  3
10  10
3  3
2  2
8  8
7  7
10  10
3  3
8  8
12  8
6  6
14  14
7  7
3  3
0  0
7  7
2  2
12  8
2  2
2  2
3  1
7  7
17  17
2  2
14  4
7  7
16  16
9  5
3  1
3  3
7  7
16  16
8  8
7  7
7  7
7  7
12  12
10  10
13  11
9  9
7  7
4  4
7  0
9  5
5  5
15  15
9  5
2  2
12  12
12  12
15  15
8  8
3  3
6  6
17  17
17  17
8  8
1  1
7  7
13  13
12  1
3  3
6  6
6  6
2  2
11  11
12  12
0  0
5  5
8  8
8  6
9  9
10  10
15  15
11  17
6  7
9  9
3  3
7  7
4  5
3  3
2  2
6  6
8  8
8  8
13  2
7  7
2  2
6  6
5  5
8  8
11  11
6  6
3  3
8  8
8  8
6  6
4  5
14  14
14  14
5  5
2  2
16  16
6  6
8  8
8  8
5  5
7  7
17  17
9  9
1  1
3  3
7  7
9  9
14  14
9  9
9  9
2  2
3  1
10  10
7  7
7  7
2  1
0  0
6  6
9  9
2  2
6  6
0  0
9  9
9  9
7  7
12  12
11  11
3  3
0  2
14  4
6  6
17  17
0  0
16  16
7  7
9  17
12  12
3  3
11  11
5  5
0  0
3  1
9  9
3  3
5  9
8  8
11  11
2  2
0  0
0  0
3  3
15  15
2  2
15  14
9  9
15  15
17  17
14  14
1  3
0  0
3  3
6  6
17  17
7  5
13  13
7  7
2  13
3  3
3  1
11  11
2  2
17  17
0  0
2  12
9  9
9  9
13  13
17  17
3  3
17  17
13  13
9  9
7  7
13  13
10  7
17  17
6  6
16  16
11  11
16  16
6  6
16  16
6  6
9  9
7  7
17  17
4  4
16  16
11  11
10  7
6  6
12  12
14  14
6  6
6  6
17  17
12  12
7  7
12  12
14  14
10  10
9  9
7  7
13  13
8  8
13  17
9  9
17  17
9  9
6  6
11  11
13  13
15  15
3  3
12  12
7  7
5  4
7  7
15  15
3  3
17  9
0  0
2  2
2  2
6  6
6  6
7  7
8  8
7  7
3  3
9  9
6  6
17  17
3  3
7  7
2  2
8  8
9  9
12  12
0  0
10  10
3  3
7  7
15  15
10  2
3  1
10  10
3  3
